"Date","Time","SensorID","Translate01","Translate02","Value","Sensor_Type","Activity","Hour","Date & Time"
"2013-11-10","00:53:21.081216","MA005","Bedroom","Bed","ON","Control4-MotionArea","Sleep",0,"2013-11-10T00:53:21.081216"
"2013-11-10","00:53:21.947270","MA004","Bedroom","Bedroom","ON","Control4-MotionArea","Sleep",0,"2013-11-10T00:53:21.947270"
"2013-11-10","00:53:22.990916","MA004","Bedroom","Bedroom","OFF","Control4-MotionArea","Sleep",0,"2013-11-10T00:53:22.990916"
"2013-11-10","00:53:24.429966","M010","WorkArea","WorkArea","ON","Control4-Motion","Sleep",0,"2013-11-10T00:53:24.429966"
"2013-11-10","00:53:25.552801","M010","WorkArea","WorkArea","OFF","Control4-Motion","Sleep",0,"2013-11-10T00:53:25.552801"
"2013-11-10","00:53:25.580575","MA005","Bedroom","Bed","OFF","Control4-MotionArea","Sleep",0,"2013-11-10T00:53:25.580575"
"2013-11-10","00:57:22.183016","MA005","Bedroom","Bed","ON","Control4-MotionArea","Sleep",0,"2013-11-10T00:57:22.183016"
"2013-11-10","00:57:23.310538","MA005","Bedroom","Bed","OFF","Control4-MotionArea","Sleep",0,"2013-11-10T00:57:23.310538"
"2013-11-10","00:57:36.594904","T102","Ignore","BathroomTemp","26","Control4-Temperature","Sleep",0,"2013-11-10T00:57:36.594904"
"2013-11-10","00:58:48.611372","MA005","Bedroom","Bed","ON","Control4-MotionArea","Sleep",0,"2013-11-10T00:58:48.611372"
"2013-11-10","00:58:49.737850","MA005","Bedroom","Bed","OFF","Control4-MotionArea","Sleep",0,"2013-11-10T00:58:49.737850"
"2013-11-10","01:07:31.641654","T102","Ignore","BathroomTemp","25","Control4-Temperature","Sleep",1,"2013-11-10T01:07:31.641654"
"2013-11-10","01:27:21.676587","T102","Ignore","BathroomTemp","24","Control4-Temperature","Sleep",1,"2013-11-10T01:27:21.676587"
"2013-11-10","03:36:40.556384","MA005","Bedroom","Bed","ON","Control4-MotionArea","Sleep",3,"2013-11-10T03:36:40.556384"
"2013-11-10","03:36:41.681999","MA005","Bedroom","Bed","OFF","Control4-MotionArea","Sleep",3,"2013-11-10T03:36:41.681999"
"2013-11-10","03:50:23.405497","T104","Ignore","LivingRoomTemp","25","Control4-Temperature","Sleep",3,"2013-11-10T03:50:23.405497"
"2013-11-10","03:52:59.600817","T104","Ignore","LivingRoomTemp","26","Control4-Temperature","Sleep",3,"2013-11-10T03:52:59.600817"
"2013-11-10","03:53:51.647601","T104","Ignore","LivingRoomTemp","25","Control4-Temperature","Sleep",3,"2013-11-10T03:53:51.647601"
"2013-11-10","03:54:43.693437","T104","Ignore","LivingRoomTemp","26","Control4-Temperature","Sleep",3,"2013-11-10T03:54:43.693437"
"2013-11-10","03:55:35.747504","T104","Ignore","LivingRoomTemp","25","Control4-Temperature","Sleep",3,"2013-11-10T03:55:35.747504"
"2013-11-10","05:09:20.695087","MA005","Bedroom","Bed","ON","Control4-MotionArea","Sleep",5,"2013-11-10T05:09:20.695087"
"2013-11-10","05:09:21.820585","MA005","Bedroom","Bed","OFF","Control4-MotionArea","Sleep",5,"2013-11-10T05:09:21.820585"
"2013-11-10","05:46:55.348763","MA005","Bedroom","Bed","ON","Control4-MotionArea","Sleep",5,"2013-11-10T05:46:55.348763"
"2013-11-10","05:46:56.995941","MA004","Bedroom","Bedroom","ON","Control4-MotionArea","Sleep",5,"2013-11-10T05:46:56.995941"
"2013-11-10","05:46:58.224162","MA004","Bedroom","Bedroom","OFF","Control4-MotionArea","Sleep",5,"2013-11-10T05:46:58.224162"
"2013-11-10","05:46:58.894166","M010","WorkArea","WorkArea","ON","Control4-Motion","Sleep",5,"2013-11-10T05:46:58.894166"
"2013-11-10","05:46:59.808166","MA004","Bedroom","Bedroom","ON","Control4-MotionArea","Sleep",5,"2013-11-10T05:46:59.808166"
"2013-11-10","05:47:00.407857","MA005","Bedroom","Bed","OFF","Control4-MotionArea","Sleep",5,"2013-11-10T05:47:00.407857"
"2013-11-10","05:47:00.761445","M010","WorkArea","WorkArea","OFF","Control4-Motion","Sleep",5,"2013-11-10T05:47:00.761445"
"2013-11-10","05:47:03.182851","MA004","Bedroom","Bedroom","OFF","Control4-MotionArea","Sleep",5,"2013-11-10T05:47:03.182851"
"2013-11-10","05:50:00.489168","MA005","Bedroom","Bed","ON","Control4-MotionArea","Sleep",5,"2013-11-10T05:50:00.489168"
"2013-11-10","05:50:01.518516","MA005","Bedroom","Bed","OFF","Control4-MotionArea","Sleep",5,"2013-11-10T05:50:01.518516"
"2013-11-10","05:50:05.835112","MA005","Bedroom","Bed","ON","Control4-MotionArea","Sleep",5,"2013-11-10T05:50:05.835112"
"2013-11-10","05:50:06.955344","MA005","Bedroom","Bed","OFF","Control4-MotionArea","Sleep",5,"2013-11-10T05:50:06.955344"
"2013-11-10","05:50:17.266812","MA005","Bedroom","Bed","ON","Control4-MotionArea","Sleep",5,"2013-11-10T05:50:17.266812"
"2013-11-10","05:50:18.392739","MA005","Bedroom","Bed","OFF","Control4-MotionArea","Sleep",5,"2013-11-10T05:50:18.392739"
"2013-11-10","06:14:16.749551","MA005","Bedroom","Bed","ON","Control4-MotionArea","Sleep",6,"2013-11-10T06:14:16.749551"
"2013-11-10","06:14:17.873611","MA005","Bedroom","Bed","OFF","Control4-MotionArea","Sleep",6,"2013-11-10T06:14:17.873611"
"2013-11-10","06:35:47.763094","MA012","Bedroom","Closet","ON","Control4-MotionArea","Sleep",6,"2013-11-10T06:35:47.763094"
"2013-11-10","06:35:48.884833","MA012","Bedroom","Closet","OFF","Control4-MotionArea","Sleep",6,"2013-11-10T06:35:48.884833"
"2013-11-10","06:54:19.513048","MA005","Bedroom","Bed","ON","Control4-MotionArea","Sleep",6,"2013-11-10T06:54:19.513048"
"2013-11-10","06:54:21.763520","MA005","Bedroom","Bed","OFF","Control4-MotionArea","Sleep",6,"2013-11-10T06:54:21.763520"
"2013-11-10","06:54:22.701603","MA005","Bedroom","Bed","ON","Control4-MotionArea","Sleep",6,"2013-11-10T06:54:22.701603"
"2013-11-10","06:54:23.826603","MA005","Bedroom","Bed","OFF","Control4-MotionArea","Sleep",6,"2013-11-10T06:54:23.826603"
"2013-11-10","06:54:39.387284","MA005","Bedroom","Bed","ON","Control4-MotionArea","Sleep",6,"2013-11-10T06:54:39.387284"
"2013-11-10","06:54:40.514263","MA005","Bedroom","Bed","OFF","Control4-MotionArea","Sleep",6,"2013-11-10T06:54:40.514263"
"2013-11-10","06:55:43.821651","MA004","Bedroom","Bedroom","ON","Control4-MotionArea","Sleep",6,"2013-11-10T06:55:43.821651"
"2013-11-10","06:55:44.929331","MA004","Bedroom","Bedroom","OFF","Control4-MotionArea","Sleep",6,"2013-11-10T06:55:44.929331"
"2013-11-10","06:56:00.216950","M010","WorkArea","WorkArea","ON","Control4-Motion","Sleep",6,"2013-11-10T06:56:00.216950"
"2013-11-10","06:56:01.348765","M010","WorkArea","WorkArea","OFF","Control4-Motion","Sleep",6,"2013-11-10T06:56:01.348765"
"2013-11-10","07:09:40.623378","LS002","Ignore","Ignore","1","Control4-LightSensor","Sleep",7,"2013-11-10T07:09:40.623378"
"2013-11-10","07:19:22.487158","LS003","Ignore","Ignore","1","Control4-LightSensor","Sleep",7,"2013-11-10T07:19:22.487158"
"2013-11-10","07:19:40.557489","LS002","Ignore","Ignore","5","Control4-LightSensor","Sleep",7,"2013-11-10T07:19:40.557489"
"2013-11-10","07:29:22.407245","LS003","Ignore","Ignore","3","Control4-LightSensor","Sleep",7,"2013-11-10T07:29:22.407245"
"2013-11-10","07:29:40.506183","LS002","Ignore","Ignore","11","Control4-LightSensor","Sleep",7,"2013-11-10T07:29:40.506183"
"2013-11-10","07:39:22.347143","LS003","Ignore","Ignore","5","Control4-LightSensor","Sleep",7,"2013-11-10T07:39:22.347143"
"2013-11-10","07:39:40.445237","LS002","Ignore","Ignore","14","Control4-LightSensor","Sleep",7,"2013-11-10T07:39:40.445237"
"2013-11-10","07:48:27.667102","LS017","Ignore","Ignore","1","Control4-LightSensor","Sleep",7,"2013-11-10T07:48:27.667102"
"2013-11-10","07:49:22.298595","LS003","Ignore","Ignore","7","Control4-LightSensor","Sleep",7,"2013-11-10T07:49:22.298595"
"2013-11-10","07:49:40.392770","LS002","Ignore","Ignore","18","Control4-LightSensor","Sleep",7,"2013-11-10T07:49:40.392770"
"2013-11-10","07:55:55.243323","LS010","Ignore","Ignore","1","Control4-LightSensor","Sleep",7,"2013-11-10T07:55:55.243323"
"2013-11-10","07:58:03.254029","LS006","Ignore","Ignore","1","Control4-LightSensor","Sleep",7,"2013-11-10T07:58:03.254029"
"2013-11-10","07:58:27.603698","LS017","Ignore","Ignore","2","Control4-LightSensor","Sleep",7,"2013-11-10T07:58:27.603698"
"2013-11-10","07:59:22.230906","LS003","Ignore","Ignore","10","Control4-LightSensor","Sleep",7,"2013-11-10T07:59:22.230906"
"2013-11-10","07:59:40.330937","LS002","Ignore","Ignore","23","Control4-LightSensor","Sleep",7,"2013-11-10T07:59:40.330937"
"2013-11-10","08:07:28.719811","T101","Ignore","FrontDoorTemp","23","Control4-Temperature","Sleep",8,"2013-11-10T08:07:28.719811"
"2013-11-10","08:08:03.209016","LS006","Ignore","Ignore","2","Control4-LightSensor","Sleep",8,"2013-11-10T08:08:03.209016"
"2013-11-10","08:08:27.545356","LS017","Ignore","Ignore","3","Control4-LightSensor","Sleep",8,"2013-11-10T08:08:27.545356"
"2013-11-10","08:09:22.161799","LS003","Ignore","Ignore","11","Control4-LightSensor","Sleep",8,"2013-11-10T08:09:22.161799"
"2013-11-10","08:15:55.145064","LS010","Ignore","Ignore","2","Control4-LightSensor","Sleep",8,"2013-11-10T08:15:55.145064"
"2013-11-10","08:18:03.139670","LS006","Ignore","Ignore","3","Control4-LightSensor","Sleep",8,"2013-11-10T08:18:03.139670"
"2013-11-10","08:18:27.480880","LS017","Ignore","Ignore","4","Control4-LightSensor","Sleep",8,"2013-11-10T08:18:27.480880"
"2013-11-10","08:19:22.107717","LS003","Ignore","Ignore","16","Control4-LightSensor","Sleep",8,"2013-11-10T08:19:22.107717"
"2013-11-10","08:19:40.226449","LS002","Ignore","Ignore","33","Control4-LightSensor","Sleep",8,"2013-11-10T08:19:40.226449"
"2013-11-10","08:19:51.887654","LS008","Ignore","Ignore","1","Control4-LightSensor","Sleep",8,"2013-11-10T08:19:51.887654"
"2013-11-10","08:24:28.456398","LS005","Ignore","Ignore","1","Control4-LightSensor","Sleep",8,"2013-11-10T08:24:28.456398"
"2013-11-10","08:25:43.888933","LS004","Ignore","Ignore","1","Control4-LightSensor","Sleep",8,"2013-11-10T08:25:43.888933"
"2013-11-10","08:25:55.088839","LS010","Ignore","Ignore","3","Control4-LightSensor","Sleep",8,"2013-11-10T08:25:55.088839"
"2013-11-10","08:28:03.080882","LS006","Ignore","Ignore","4","Control4-LightSensor","Sleep",8,"2013-11-10T08:28:03.080882"
"2013-11-10","08:28:27.420360","LS017","Ignore","Ignore","5","Control4-LightSensor","Sleep",8,"2013-11-10T08:28:27.420360"
"2013-11-10","08:29:22.035202","LS003","Ignore","Ignore","17","Control4-LightSensor","Sleep",8,"2013-11-10T08:29:22.035202"
"2013-11-10","08:29:40.162922","LS002","Ignore","Ignore","34","Control4-LightSensor","Sleep",8,"2013-11-10T08:29:40.162922"
"2013-11-10","08:39:21.973806","LS003","Ignore","Ignore","16","Control4-LightSensor","Sleep",8,"2013-11-10T08:39:21.973806"
"2013-11-10","08:45:43.751660","LS004","Ignore","Ignore","0","Control4-LightSensor","Sleep",8,"2013-11-10T08:45:43.751660"
"2013-11-10","08:45:55.030400","LS010","Ignore","Ignore","2","Control4-LightSensor","Sleep",8,"2013-11-10T08:45:55.030400"
"2013-11-10","08:48:02.969889","LS006","Ignore","Ignore","2","Control4-LightSensor","Sleep",8,"2013-11-10T08:48:02.969889"
"2013-11-10","08:48:27.301440","LS017","Ignore","Ignore","3","Control4-LightSensor","Sleep",8,"2013-11-10T08:48:27.301440"
"2013-11-10","08:49:21.908865","LS003","Ignore","Ignore","14","Control4-LightSensor","Sleep",8,"2013-11-10T08:49:21.908865"
"2013-11-10","08:49:40.043365","LS002","Ignore","Ignore","30","Control4-LightSensor","Sleep",8,"2013-11-10T08:49:40.043365"
"2013-11-10","08:55:43.693888","LS004","Ignore","Ignore","1","Control4-LightSensor","Sleep",8,"2013-11-10T08:55:43.693888"
"2013-11-10","08:55:54.928338","LS010","Ignore","Ignore","4","Control4-LightSensor","Sleep",8,"2013-11-10T08:55:54.928338"
"2013-11-10","08:58:02.908101","LS006","Ignore","Ignore","6","Control4-LightSensor","Sleep",8,"2013-11-10T08:58:02.908101"
"2013-11-10","08:58:19.519492","LS016","Ignore","Ignore","1","Control4-LightSensor","Sleep",8,"2013-11-10T08:58:19.519492"
"2013-11-10","08:58:27.233342","LS017","Ignore","Ignore","7","Control4-LightSensor","Sleep",8,"2013-11-10T08:58:27.233342"
"2013-11-10","08:59:21.850373","LS003","Ignore","Ignore","25","Control4-LightSensor","Sleep",8,"2013-11-10T08:59:21.850373"
"2013-11-10","08:59:39.988588","LS002","Ignore","Ignore","44","Control4-LightSensor","Sleep",8,"2013-11-10T08:59:39.988588"
"2013-11-10","08:59:51.653860","LS008","Ignore","Ignore","3","Control4-LightSensor","Sleep",8,"2013-11-10T08:59:51.653860"
"2013-11-10","09:08:02.846753","LS006","Ignore","Ignore","5","Control4-LightSensor","Sleep",9,"2013-11-10T09:08:02.846753"
"2013-11-10","09:09:21.781793","LS003","Ignore","Ignore","23","Control4-LightSensor","Sleep",9,"2013-11-10T09:09:21.781793"
"2013-11-10","09:09:39.935596","LS002","Ignore","Ignore","43","Control4-LightSensor","Sleep",9,"2013-11-10T09:09:39.935596"
"2013-11-10","09:14:28.162278","LS005","Ignore","Ignore","3","Control4-LightSensor","Sleep",9,"2013-11-10T09:14:28.162278"
"2013-11-10","09:15:43.567302","LS004","Ignore","Ignore","3","Control4-LightSensor","Sleep",9,"2013-11-10T09:15:43.567302"
"2013-11-10","09:15:54.827774","LS010","Ignore","Ignore","7","Control4-LightSensor","Sleep",9,"2013-11-10T09:15:54.827774"
"2013-11-10","09:17:21.396541","LS011","Ignore","Ignore","1","Control4-LightSensor","Sleep",9,"2013-11-10T09:17:21.396541"
"2013-11-10","09:18:02.793462","LS006","Ignore","Ignore","9","Control4-LightSensor","Sleep",9,"2013-11-10T09:18:02.793462"
"2013-11-10","09:18:19.406973","LS016","Ignore","Ignore","2","Control4-LightSensor","Sleep",9,"2013-11-10T09:18:19.406973"
"2013-11-10","09:18:27.110731","LS017","Ignore","Ignore","10","Control4-LightSensor","Sleep",9,"2013-11-10T09:18:27.110731"
"2013-11-10","09:19:21.719709","LS003","Ignore","Ignore","29","Control4-LightSensor","Sleep",9,"2013-11-10T09:19:21.719709"
"2013-11-10","09:19:39.878514","LS002","Ignore","Ignore","49","Control4-LightSensor","Sleep",9,"2013-11-10T09:19:39.878514"
"2013-11-10","09:19:50.709849","LS009","Ignore","Ignore","1","Control4-LightSensor","Sleep",9,"2013-11-10T09:19:50.709849"
"2013-11-10","09:19:51.541824","LS008","Ignore","Ignore","5","Control4-LightSensor","Sleep",9,"2013-11-10T09:19:51.541824"
"2013-11-10","09:25:54.780279","LS010","Ignore","Ignore","6","Control4-LightSensor","Sleep",9,"2013-11-10T09:25:54.780279"
"2013-11-10","09:28:01.547208","MA005","Bedroom","Bed","ON","Control4-MotionArea","Sleep",9,"2013-11-10T09:28:01.547208"
"2013-11-10","09:28:02.736441","LS006","Ignore","Ignore","8","Control4-LightSensor","Sleep",9,"2013-11-10T09:28:02.736441"
"2013-11-10","09:28:04.362545","MA005","Bedroom","Bed","OFF","Control4-MotionArea","Sleep",9,"2013-11-10T09:28:04.362545"
"2013-11-10","09:28:27.054728","LS017","Ignore","Ignore","9","Control4-LightSensor","Sleep",9,"2013-11-10T09:28:27.054728"
